sample_id,split,image,actual,predicted,confidence,reviewer,assessment,visual_observation,assessment_reason,image_sha256,previous_human_tag,human_tag,review_note,tag_review_status
cifar10_train_39313,Validation,errors/cifar10_train_39313.png,cat,dog,0.9467381238937378,AI visual review,수치상 타당·원인 설명 아님,줄무늬 몸과 얼굴이 보이고 오른쪽 구조물 및 배경과 가깝게 맞닿아 있다.,오답 클래스 점수 0.946738 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,289dc864ee4cf25cacb24667051ac492b213879262285782e5ce589a0c796ee0,high_confidence_error,model_limitation,줄무늬 몸과 얼굴이 보이고 오른쪽 구조물 및 배경과 가깝게 맞닿아 있다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_25077,Validation,errors/cifar10_train_25077.png,cat,deer,0.535248875617981,AI visual review,시각적 근거 부족·재검토,뾰족한 귀와 줄무늬 얼굴이 크게 보이며 일부 얼굴은 그림자에 있다.,사슴과 닮은 구체적인 특징은 이미지에서 뚜렷하지 않다.,5bc441607710b029eaa6d09431ae8509bbd8f2a8a0cf545234f0df7b5a8a2daf,class_similarity,model_limitation,뾰족한 귀와 줄무늬 얼굴이 크게 보이며 일부 얼굴은 그림자에 있다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_2505,Validation,errors/cifar10_train_2505.png,cat,dog,0.6493538618087769,AI visual review,시각적 가설로 가능,붉은 바닥에 누운 동물의 옆얼굴과 몸이 작고 흐리게 보인다.,누운 자세에서 귀와 주둥이를 구분하기 어려워 개와의 유사성 가설은 가능하다.,884a248a98483942a5675b3ce3f56af52e0bea6337fbe9952d86f09cf881ca0c,class_similarity,class_similarity,붉은 바닥에 누운 동물의 옆얼굴과 몸이 작고 흐리게 보인다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_1041,Validation,errors/cifar10_train_1041.png,cat,dog,0.7626124620437622,AI visual review,시각적 근거 부족·재검토,밝은 몸통이 주변의 붉고 어두운 물건들과 겹치며 얼굴 위치가 불명확하다.,두 클래스가 닮았다는 근거보다 배경 혼잡과 낮은 세부 식별성이 더 직접적이다.,6175939fe4c02163f3aca22c16234f090b31e147d877a9171925ec4b2078548a,class_similarity,background_clutter,밝은 몸통이 주변의 붉고 어두운 물건들과 겹치며 얼굴 위치가 불명확하다. 배경의 물건·색·무늬와 피사체 경계가 섞이는 점을 우선 기록. 모델이 배경을 사용했는지는 미확인.,ai_draft_pending_human_review
cifar10_train_41540,Validation,errors/cifar10_train_41540.png,cat,dog,0.6284939050674438,AI visual review,시각적 근거 부족·재검토,앉은 흰 가슴의 동물과 얼굴 윤곽이 보이며 주변에 수직 구조물이 있다.,고양이 단서가 남아 있고 개와 닮은 특징을 특정하기 어렵다.,8e8b33c14f8f38f97663b366ce9e0596acb0a3d551eb5da05491f65bbd92f37f,class_similarity,model_limitation,앉은 흰 가슴의 동물과 얼굴 윤곽이 보이며 주변에 수직 구조물이 있다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_5473,Validation,errors/cifar10_train_5473.png,cat,deer,0.9859902858734131,AI visual review,수치상 타당·원인 설명 아님,풀 위를 걷는 전신이며 긴 다리 윤곽에 비해 머리는 작다.,오답 클래스 점수 0.985990 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,177e5ef5a45c42d7de786fefb5145df8653ac5a6a5651597e1bba7640ff11e17,high_confidence_error,model_limitation,풀 위를 걷는 전신이며 긴 다리 윤곽에 비해 머리는 작다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_19780,Validation,errors/cifar10_train_19780.png,cat,dog,0.5739031434059143,AI visual review,시각적 근거 부족·재검토,단색 배경 앞 앉은 동물의 뾰족한 귀와 긴 꼬리가 보인다.,고양이 형태 단서가 비교적 분명해 개와의 유사성만을 원인으로 적기 어렵다.,f9fe433f5131f076bf6031cf6eede7e67baff0ecc88bfa988bad75fe1adbab6d,class_similarity,model_limitation,단색 배경 앞 앉은 동물의 뾰족한 귀와 긴 꼬리가 보인다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_34011,Validation,errors/cifar10_train_34011.png,cat,deer,0.9962718486785889,AI visual review,수치상 타당·원인 설명 아님,길과 수풀 사이 작은 전신이며 꼬리는 올라가 있고 얼굴은 매우 작다.,오답 클래스 점수 0.996272 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,95621985a57c7a1a57e9a1d84aa43d6b0e125ce47d00d72a838c3fdb6cfd33f9,high_confidence_error,low_resolution,길과 수풀 사이 작은 전신이며 꼬리는 올라가 있고 얼굴은 매우 작다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_28574,Validation,errors/cifar10_train_28574.png,cat,dog,0.7823394536972046,AI visual review,시각적 근거 부족·재검토,검은 동물이 밝은 상자 뒤에 있고 귀는 보이나 하체는 가려져 있다.,가림과 어두운 몸의 세부 소실이 보인다. 클래스 유사성은 확인하기 어렵다.,7825b38e9d40e2baedfa79096a8793a57fb8a7768f26f8cb1211013f695bb626,class_similarity,occlusion,검은 동물이 밝은 상자 뒤에 있고 귀는 보이나 하체는 가려져 있다. 상자 등 주변 물체에 피사체 일부가 가려져 전신 단서가 부족한 점을 기록.,ai_draft_pending_human_review
cifar10_train_15876,Validation,errors/cifar10_train_15876.png,cat,dog,0.9835298657417297,AI visual review,수치상 타당·원인 설명 아님,밝은 바닥 위 어두운 웅크린 몸이며 얼굴 방향과 세부가 잘 보이지 않는다.,오답 클래스 점수 0.983530 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,ca096e201b31304fa108e4933af06b99eb47e32d790514f4c9640fd979d74a5b,high_confidence_error,low_resolution,밝은 바닥 위 어두운 웅크린 몸이며 얼굴 방향과 세부가 잘 보이지 않는다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_45752,Validation,errors/cifar10_train_45752.png,cat,dog,0.9717126488685608,AI visual review,수치상 타당·원인 설명 아님,밝은 배경에 흰색·검은색 얼굴 또는 상체가 보이며 경계가 뭉개져 있다.,오답 클래스 점수 0.971713 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,8500e5f401a852de86ee09c100e7520fb6cbb0f08400eb74fe6729cb04675051,high_confidence_error,low_resolution,밝은 배경에 흰색·검은색 얼굴 또는 상체가 보이며 경계가 뭉개져 있다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_1271,Validation,errors/cifar10_train_1271.png,cat,dog,0.5535932779312134,AI visual review,시각적 근거 부족·재검토,갈색 동물이 앉아 있고 얼굴과 다리가 흐리게 뭉개져 있다.,종간 유사성을 특정하기보다 얼굴 세부가 부족하다는 관찰이 더 확실하다.,b2f8719a8e9b8d1a121ba435dbd49aa6a65d18f2a724d0c28496043c89e9a13f,class_similarity,low_resolution,갈색 동물이 앉아 있고 얼굴과 다리가 흐리게 뭉개져 있다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_24652,Validation,errors/cifar10_train_24652.png,cat,dog,0.9730135798454285,AI visual review,수치상 타당·원인 설명 아님,흰 털의 둥근 얼굴과 작은 눈·코가 정면으로 크게 보인다.,오답 클래스 점수 0.973014 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,b4ff5f135dfd75f9e61e7ee03c543ec3c9df00cac9d4575d7380fc7f6aa605b2,high_confidence_error,class_similarity,흰 털의 둥근 얼굴과 작은 눈·코가 정면으로 크게 보인다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_45209,Validation,errors/cifar10_train_45209.png,cat,dog,0.679094672203064,AI visual review,시각적 가설로 가능,흰 얼굴과 어두운 귀·눈 주변이 보이며 주둥이 길이가 불명확하다.,얼굴 배색과 작은 주둥이의 구별 어려움 때문에 개와의 유사성은 가능하다.,eee737a363370f51471ea961c8b4ba9033ac7d1791a9e5b98ffef58ef53591cd,class_similarity,class_similarity,흰 얼굴과 어두운 귀·눈 주변이 보이며 주둥이 길이가 불명확하다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_4437,Validation,errors/cifar10_train_4437.png,cat,dog,0.9994766116142273,AI visual review,수치상 타당·원인 설명 아님,녹색 풀 앞 주황색 전신이 옆으로 보이며 얼굴 세부가 적다.,오답 클래스 점수 0.999477 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,e82209a32b209cd90cf6da1e979b45b29f995d2a7fb096335af61cc3786f210d,high_confidence_error,model_limitation,녹색 풀 앞 주황색 전신이 옆으로 보이며 얼굴 세부가 적다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_9394,Validation,errors/cifar10_train_9394.png,cat,dog,0.9450091123580933,AI visual review,수치상 타당·원인 설명 아님,수풀 앞 작은 갈색 피사체로 배경이 차지하는 면적이 크다.,오답 클래스 점수 0.945009 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,c005151bd10129094b43b5fa7324094ffbe1e980b709499a4a2bb07ab01bde69,high_confidence_error,low_resolution,수풀 앞 작은 갈색 피사체로 배경이 차지하는 면적이 크다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_46812,Validation,errors/cifar10_train_46812.png,cat,dog,0.8021509051322937,AI visual review,수치상 타당·원인 설명 아님,밝은 줄무늬 몸 또는 얼굴이 화면을 채우지만 경계가 강하게 뭉개져 있다.,오답 클래스 점수 0.802151 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,b9313c6f2c7e1113ed4f79e0e40ef77fbb9a387f73ed66dab95b91a8080be47f,high_confidence_error,low_resolution,밝은 줄무늬 몸 또는 얼굴이 화면을 채우지만 경계가 강하게 뭉개져 있다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_24031,Validation,errors/cifar10_train_24031.png,cat,dog,0.5546903014183044,AI visual review,시각적 가설로 가능,붉은 바닥에 엎드린 줄무늬 얼굴이 정면으로 보이며 귀가 뚜렷하지 않다.,정면의 둥근 얼굴에서 고양이·개를 구분하는 귀와 주둥이 단서가 약하다.,435e435458bf81dd8e006eafb4f12c529bedbdcd510c23534134b9b77c372f9c,class_similarity,class_similarity,붉은 바닥에 엎드린 줄무늬 얼굴이 정면으로 보이며 귀가 뚜렷하지 않다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_28162,Validation,errors/cifar10_train_28162.png,cat,dog,0.8627135157585144,AI visual review,수치상 타당·원인 설명 아님,줄무늬 배경과 가는 구조물 앞 갈색 동물이 앉아 있어 윤곽이 배경과 섞인다.,오답 클래스 점수 0.862714 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,b042841ee5c91e9eaa74e981357ebe55fb600563055fc636e177a55b6aef49dc,high_confidence_error,background_clutter,줄무늬 배경과 가는 구조물 앞 갈색 동물이 앉아 있어 윤곽이 배경과 섞인다. 배경의 물건·색·무늬와 피사체 경계가 섞이는 점을 우선 기록. 모델이 배경을 사용했는지는 미확인.,ai_draft_pending_human_review
cifar10_train_34579,Validation,errors/cifar10_train_34579.png,cat,dog,0.9047228097915649,AI visual review,시각적 가설로 가능,검은 배경 앞 어두운 몸통의 세부는 약하고 얼굴·가슴 일부와 아래 주황색 면은 밝다.,국소적인 어둠이 식별을 방해할 가능성은 있다. 다만 털색·배경 영향과 조명 부족은 분리할 수 없다.,00ecdaf65c9d0f206b0c3ebb97ac30a38de0b01b47c7089a81e9ff01d035181d,dark_lighting,low_resolution,검은 배경 앞 어두운 몸통의 세부는 약하고 얼굴·가슴 일부와 아래 주황색 면은 밝다. 어두운 털·배경 사이에서 몸과 얼굴 세부가 부족함. 조명 자체가 원인인지는 불확실함.,ai_draft_pending_human_review
cifar10_train_24036,Validation,errors/cifar10_train_24036.png,cat,dog,0.8143923878669739,AI visual review,수치상 타당·원인 설명 아님,갈색 바닥의 회색·흰색 피사체가 작은 덩어리로 보여 자세와 얼굴이 불명확하다.,오답 클래스 점수 0.814392 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,279366dc223493c60e6c58e332520ea1162107e0aec153ad7e62075045205461,high_confidence_error,low_resolution,갈색 바닥의 회색·흰색 피사체가 작은 덩어리로 보여 자세와 얼굴이 불명확하다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_36269,Validation,errors/cifar10_train_36269.png,cat,dog,0.5183003544807434,AI visual review,시각적 가설로 가능,주황색 몸이 말린 자세이며 옆얼굴과 귀 일부가 몸통에 겹친다.,웅크린 자세와 겹친 얼굴 때문에 두 클래스의 형태가 비슷하게 보일 수 있다.,05b463d5c2e963f7a9d9691926c6130a1d936255f855a08b0e609e8c525d3273,class_similarity,class_similarity,주황색 몸이 말린 자세이며 옆얼굴과 귀 일부가 몸통에 겹친다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_41918,Validation,errors/cifar10_train_41918.png,cat,deer,0.6103193759918213,AI visual review,시각적 근거 부족·재검토,회청색 무늬가 화면을 채우고 얼굴·몸의 경계를 안정적으로 읽기 어렵다.,사슴과의 유사성을 판단할 만큼 형태가 분명하지 않다.,370dc7b8da06ec48d33f3ea28ed536f33ea07f67d642f8d2428c34f63a479970,class_similarity,low_resolution,회청색 무늬가 화면을 채우고 얼굴·몸의 경계를 안정적으로 읽기 어렵다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_28786,Validation,errors/cifar10_train_28786.png,cat,dog,0.9188403487205505,AI visual review,시각적 가설로 가능,어두운 배경과 얼굴 상부에 비해 흰 가슴은 밝고 한쪽 눈 부근만 두드러진다.,얼굴의 그림자와 낮은 대비가 보조 가설이 될 수 있다. 전체적인 저조도라고 확정할 수는 없다.,7cb122b77fbcded990a01355145521a5d5f4dcda59f0d04b8ae7f196b19b4a73,dark_lighting,model_limitation,어두운 배경과 얼굴 상부에 비해 흰 가슴은 밝고 한쪽 눈 부근만 두드러진다. 귀와 얼굴·가슴 윤곽의 고양이 단서가 남아 있으나 dog으로 오분류. 밝은 가슴과 어두운 얼굴만으로 조명 원인을 확정하지 않음.,ai_draft_pending_human_review
cifar10_train_517,Validation,errors/cifar10_train_517.png,cat,dog,0.9885841608047485,AI visual review,수치상 타당·원인 설명 아님,어두운 배경 앞 머리와 밝은 가슴이 보이고 몸 일부는 주변 구조물과 겹친다.,오답 클래스 점수 0.988584 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,b80bf3ea34fad840a0e9c801cfd24789535e9a4c35a094587376f62a89f99b65,high_confidence_error,model_limitation,어두운 배경 앞 머리와 밝은 가슴이 보이고 몸 일부는 주변 구조물과 겹친다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_966,Validation,errors/cifar10_train_966.png,deer,dog,0.9979060888290405,AI visual review,수치상 타당·원인 설명 아님,풀 위 정면 얼굴과 귀가 보이고 코 주변의 밝은 무늬가 두드러진다.,오답 클래스 점수 0.997906 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,8ffb54050abc2832655001a391779775579c2f47c0294c83031fdc98a059c6f2,high_confidence_error,class_similarity,풀 위 정면 얼굴과 귀가 보이고 코 주변의 밝은 무늬가 두드러진다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_10489,Validation,errors/cifar10_train_10489.png,deer,cat,0.45791560411453247,AI visual review,시각적 가설로 가능,어두운 몸과 위로 뻗은 귀·머리 윤곽이 작은 크기로 보인다.,작은 귀와 머리 실루엣이 고양이처럼 읽힐 가능성은 있으나 세부가 부족하다.,874eeb49527cf56b6b2983ea483e4889a85fe032c1e8ae08eb9f043f0e6855f8,class_similarity,class_similarity,어두운 몸과 위로 뻗은 귀·머리 윤곽이 작은 크기로 보인다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_16155,Validation,errors/cifar10_train_16155.png,deer,cat,0.9999485015869141,AI visual review,수치상 타당·원인 설명 아님,밝은 배경에 큰 귀와 가는 얼굴이 보이며 밝은 영역의 세부가 약하다.,오답 클래스 점수 0.999949 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,25578df2558c14b322870777d17d9598c36906dd33961c9f58fccc15d410eca4,high_confidence_error,model_limitation,밝은 배경에 큰 귀와 가는 얼굴이 보이며 밝은 영역의 세부가 약하다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
